clean_feedback,valid_invalid,category,sentiment
menu icon feel okay,valid,website,neutral
payment receipt generated,valid,website,positive
search bar lagged,valid,website,negative
notification arrived time,valid,website,positive
font clarity feel normal,valid,website,neutral
classroom air feel fresh,valid,facilities,positive
ceiling fan make noise,valid,facilities,negative
lab chair feel okay,valid,facilities,neutral
corridor look clean,valid,facilities,positive
water cooler not working,valid,facilities,negative
parking space feel average,valid,facilities,neutral
common hall smell fresh,valid,facilities,positive
washroom mirror cracked,valid,facilities,negative
study area feel calm,valid,facilities,positive
stairway width feel normal,valid,facilities,neutral
library catalog helped search,valid,library,positive
book outdated,valid,library,negative
reading atmosphere feel okay,valid,library,neutral
digital section useful,valid,library,positive
printer jammed,valid,library,negative
library spacing feel fine,valid,library,neutral
found thesis copy easily,valid,library,positive
ac too cold,valid,library,negative
silent zone help focus,valid,library,positive
library crowd feel average,valid,library,neutral
upma tasted good,valid,canteen,positive
tea lukewarm,valid,canteen,negative
breakfast rush feel normal,valid,canteen,neutral
noodle flavorful,valid,canteen,positive
sauce tasted odd,valid,canteen,negative
table cleanliness feel okay,valid,canteen,neutral
fresh fruit available,valid,canteen,positive
paper cup missing,valid,canteen,negative
milk chilled well,valid,canteen,positive
serving size feel average,valid,canteen,neutral
faculty shared extra note,valid,academics,positive
slide unreadable,valid,academics,negative
class engagement feel normal,valid,academics,neutral
tutorial session helped,valid,academics,positive
project guideline unclear,valid,academics,negative
study load feel okay,valid,academics,neutral
revision worksheet useful,valid,academics,positive
recorded class missing,valid,academics,negative
practice problem helped,valid,academics,positive
topic coverage feel average,valid,academics,neutral
application approved quickly,valid,administration,positive
token system confusing,valid,administration,negative
waiting room feel normal,valid,administration,neutral
staff responded politely,valid,administration,positive
file got misplaced,valid,administration,negative
office lighting feel okay,valid,administration,neutral
help desk resolved issue,valid,administration,positive
counter unattended,valid,administration,negative
process smooth today,valid,administration,positive
office noise feel average,valid,administration,neutral
website graph look clean,valid,website,positive
session expired suddenly,valid,website,negative
navigation speed feel normal,valid,website,neutral
report download worked,valid,website,positive
attachment upload failed,valid,website,negative
color theme feel okay,valid,website,neutral
profile alert helpful,valid,website,positive
form submit lagged,valid,website,negative
homepage load quickly,valid,website,positive
button size feel normal,valid,website,neutral
classroom window open smoothly,valid,facilities,positive
floor tile cracked,valid,facilities,negative
lab lighting feel okay,valid,facilities,neutral
garden flower look fresh,valid,facilities,positive
handwash dispenser empty,valid,facilities,negative
rest area feel normal,valid,facilities,neutral
notice board updated,valid,facilities,positive
switchboard spark,valid,facilities,negative
reading hall feel peaceful,valid,facilities,positive
entrance space feel average,valid,facilities,neutral
found archive quickly,valid,library,positive
cd scratched,valid,library,negative
library layout feel normal,valid,library,neutral
staff arranged book neatly,valid,library,positive
issue slip missing,valid,library,negative
desk spacing feel okay,valid,library,neutral
reference guide helpful,valid,library,positive
scanner not working,valid,library,negative
quiet corner available,valid,library,positive
reading time feel average,valid,library,neutral
veg pulao tasted nice,valid,canteen,positive
gravy watery,valid,canteen,negative
lunch crowd feel normal,valid,canteen,neutral
ice cream creamy,valid,canteen,positive
chutney tasted sour,valid,canteen,negative
tray return feel okay,valid,canteen,neutral
fresh salad served,valid,canteen,positive
spoon missing,valid,canteen,negative
cold drink chilled well,valid,canteen,positive
dining space feel average,valid,canteen,neutral
extra handout helpful,valid,academics,positive
lecture audio kept breaking,valid,academics,negative
class pace feel normal,valid,academics,neutral
problem solving session helped,valid,academics,positive
too many topic one class,valid,academics,negative
daily schedule feel okay,valid,academics,neutral
faculty cleared doubt patiently,valid,academics,positive
slide loaded very slowly,valid,academics,negative
practice test improved score,valid,academics,positive
syllabus coverage feel average,valid,academics,neutral
reception handled form quickly,valid,administration,positive
counter closed unexpectedly,valid,administration,negative
office queue feel normal,valid,administration,neutral
staff explained procedure clearly,valid,administration,positive
approval got delayed,valid,administration,negative
waiting area feel okay,valid,administration,neutral
document processed smoothly,valid,administration,positive
help desk gave wrong info,valid,administration,negative
office visit went well,valid,administration,positive
timing feel average today,valid,administration,neutral
website chart load fast,valid,website,positive
login page keep refreshing,valid,website,negative
portal design feel normal,valid,website,neutral
download button work fine,valid,website,positive
otp arrived late,valid,website,negative
header layout feel okay,valid,website,neutral
profile sync completed,valid,website,positive
search result inaccurate,valid,website,negative
notification show clearly,valid,website,positive
color contrast feel average,valid,website,neutral
classroom smell fresh,valid,facilities,positive
projector bulb flicker,valid,facilities,negative
lab temperature feel normal,valid,facilities,neutral
campus bench look clean,valid,facilities,positive
water tap dripping,valid,facilities,negative
hall spacing feel okay,valid,facilities,neutral
common wash area neat,valid,facilities,positive
